Number of all nodes =  379659 
nodes in x-z-plane =  13324 
nodes in y-z-plane =  13324 
nodes in x-y-plane ~  4000 
ma_x0          50 
ma_y0          80 

Nodes along z-axis =  303 
No.           coord. value
 1             0             2,955724 
 2             0,0199734     2,936662 
 3             0,1198402     2,930684 
 4             0,2197071     2,926297 
 5             0,3195739     2,921917 
 6             0,4194408     2,917543 
 7             0,5193076     2,913176 
 8             0,6191745     2,908815 
 9             0,7190413     2,904461 
 10            0,8189082     2,900113 
 11            0,918775      2,895772 
 12            1,018642      2,891437 
 13            1,118509      2,887109 
 14            1,218376      2,882787 
 15            1,318242      2,878472 
 16            1,418109      2,874163 
 17            1,517976      2,869861 
 18            1,617843      2,865565 
 19            1,71771       2,861275 
 20            1,817577      2,856992 
 21            1,917443      2,852715 
 22            2,01731       2,848445 
 23            2,117177      2,844181 
 24            2,217044      2,839923 
 25            2,316911      2,835672 
 26            2,416778      2,831427 
 27            2,516644      2,827189 
 28            2,616511      2,822957 
 29            2,716378      2,818731 
 30            2,816245      2,814511 
 31            2,916112      2,810298 
 32            3,015979      2,806091 
 33            3,115846      2,80189 
 34            3,215712      2,797696 
 35            3,315579      2,793508 
 36            3,415446      2,789326 
 37            3,515313      2,78515 
 38            3,61518       2,780981 
 39            3,715047      2,776818 
 40            3,814913      2,772661 
 41            3,91478       2,76851 
 42            4,014647      2,764366 
 43            4,114514      2,760228 
 44            4,214381      2,756096 
 45            4,314248      2,75197 
 46            4,414115      2,74785 
 47            4,513981      2,743736 
 48            4,613848      2,739629 
 49            4,713715      2,735528 
 50            4,813582      2,731433 
 51            4,913449      2,727343 
 52            5,013316      2,723261 
 53            5,113182      2,719184 
 54            5,213049      2,715113 
 55            5,312916      2,711048 
 56            5,412783      2,70699 
 57            5,51265       2,702937 
 58            5,612517      2,698891 
 59            5,712384      2,69485 
 60            5,81225       2,690816 
 61            5,912117      2,686788 
 62            6,011984      2,682766 
 63            6,111851      2,678749 
 64            6,211718      2,674739 
 65            6,311585      2,670735 
 66            6,411451      2,666736 
 67            6,511318      2,662744 
 68            6,611185      2,658758 
 69            6,711052      2,654777 
 70            6,810919      2,650803 
 71            6,910786      2,646834 
 72            7,010652      2,642872 
 73            7,110519      2,638915 
 74            7,210386      2,634965 
 75            7,310253      2,63102 
 76            7,41012       2,627081 
 77            7,509987      2,623148 
 78            7,609854      2,619221 
 79            7,70972       2,615299 
 80            7,809587      2,611384 
 81            7,909454      2,607474 
 82            8,009321      2,603571 
 83            8,109188      2,599673 
 84            8,209055      2,595781 
 85            8,308921      2,591894 
 86            8,408788      2,588014 
 87            8,508655      2,584139 
 88            8,608522      2,580271 
 89            8,708389      2,576408 
 90            8,808256      2,57255 
 91            8,908123      2,568699 
 92            9,007989      2,564853 
 93            9,107856      2,561013 
 94            9,207723      2,557179 
 95            9,30759       2,55335 
 96            9,407457      2,549528 
 97            9,507324      2,54571 
 98            9,60719       2,541899 
 99            9,707057      2,538093 
 100           9,806924      2,534293 
 101           9,906791      2,530499 
 102           10,00666      2,52671 
 103           10,10652      2,522928 
 104           10,20639      2,51915 
 105           10,30626      2,515379 
 106           10,40613      2,511613 
 107           10,50599      2,507852 
 108           10,60586      2,504097 
 109           10,70573      2,500348 
 110           10,80559      2,496605 
 111           10,90546      2,492867 
 112           11,00533      2,489134 
 113           11,10519      2,485408 
 114           11,20506      2,481686 
 115           11,30493      2,477971 
 116           11,40479      2,474261 
 117           11,50466      2,470556 
 118           11,60453      2,466857 
 119           11,70439      2,463164 
 120           11,80426      2,459476 
 121           11,90413      2,455793 
 122           12,00399      2,452116 
 123           12,10386      2,448445 
 124           12,20373      2,444779 
 125           12,3036       2,441118 
 126           12,40346      2,437463 
 127           12,50333      2,433814 
 128           12,6032       2,43017 
 129           12,70306      2,426531 
 130           12,80293      2,422898 
 131           12,9028       2,41927 
