"0"
"x","Temp","Pump Light","z-disp","Sxx","Syy","Szz",
"=-0,95","=302,534","=0","=-0,00367263","=-0,37141","=2,21519","=0,30024",
"=-0,9","=302,692","=0","=-0,00367381","=-0,41152","=2,03676","=-0,11579",
"=-0,85","=302,868","=0","=-0,00367493","=-0,6484","=1,87981","=-0,40661",
"=-0,8","=303,054","=0","=-0,00367641","=-0,94529","=1,78552","=-0,31236",
"=-0,75","=303,252","=0","=-0,00367789","=-0,57368","=1,91637","=-0,36888",
"=-0,7","=303,464","=0","=-0,00367955","=-0,83074","=1,76065","=-0,2871",
"=-0,65","=303,692","=0","=-0,00368134","=-0,84421","=1,73661","=-0,21251",
"=-0,6","=303,939","=0,0000183571","=-0,00368325","=-0,98467","=1,60549","=-0,44728",
"=-0,55","=304,207","=0,000166771","=-0,0036853","=-0,80814","=1,69123","=-0,47766",
"=-0,5","=304,501","=0,000884824","=-0,00368746","=-0,78629","=1,68622","=-0,34479",
"=-0,45","=304,827","=0,00401575","=-0,00368976","=-0,50959","=1,73625","=-0,2294",
"=-0,4","=305,19","=0,0155922","=-0,00369204","=-0,53095","=1,72237","=-0,29942",
"=-0,35","=305,598","=0,0518005","=-0,00369448","=-0,11472","=1,86831","=0,0109681",
"=-0,3","=306,056","=0,14726","=-0,0036968","=-0,18436","=1,65919","=-0,16299",
"=-0,25","=306,566","=0,35827","=-0,00369918","=0,00572581","=1,56161","=-0,0257546",
"=-0,2","=307,11","=0,74595","=-0,00370129","=0,0126345","=1,16443","=-0,46869",
"=-0,15","=307,652","=1,32926","=-0,00370329","=0,39275","=1,09514","=-0,26363",
"=-0,1","=308,125","=2,02726","=-0,0037047","=0,42428","=0,82043","=-0,36912",
"=-0,05","=308,453","=2,64608","=-0,00370575","=0,7492","=0,85815","=0,0498276",
"=-2,22045e-16","=308,568","=2,95572","=-0,00370588","=0,65745","=0,65274","=-0,22542",
"=0,05","=308,445","=2,82529","=-0,00370551","=0,79363","=0,85635","=0,11314",
"=0,1","=308,109","=2,31079","=-0,00370422","=0,48466","=0,8936","=-0,0932922",
"=0,15","=307,63","=1,61699","=-0,00370252","=0,41996","=1,13831","=0,0230789",
"=0,2","=307,084","=0,96793","=-0,00370027","=0,0884274","=1,13582","=-0,21989",
"=0,25","=306,538","=0,49558","=-0,00369797","=-0,0654394","=1,35301","=-0,0850111",
"=0,3","=306,029","=0,217","=-0,0036953","=-0,39234","=1,3426","=-0,38664",
"=0,35","=305,572","=0,0812422","=-0,00369278","=-0,29075","=1,60901","=-0,0820995",
"=0,4","=305,166","=0,0260038","=-0,00369009","=-0,5248","=1,55159","=-0,30447",
"=0,45","=304,805","=0,00711451","=-0,00368762","=-0,50821","=1,65065","=-0,17632",
"=0,5","=304,482","=0,00166354","=-0,00368505","=-0,61988","=1,61404","=-0,24198",
"=0,55","=304,189","=0,00033238","=-0,00368273","=-0,68593","=1,68142","=-0,11125",
"=0,6","=303,922","=0,0000512314","=-0,00368037","=-0,93553","=1,49574","=-0,50132",
"=0,65","=303,677","=0","=-0,00367837","=-0,66614","=1,70208","=-0,18219",
"=0,7","=303,45","=0","=-0,00367622","=-1,03249","=1,53647","=-0,42366",
"=0,75","=303,238","=0","=-0,00367442","=-0,75077","=1,64899","=-0,2671",
"=0,8","=303,04","=0","=-0,00367256","=-0,5729","=1,64259","=-0,35625",
"=0,85","=302,854","=0","=-0,00367107","=-0,39335","=1,82299","=-0,11569",
"=0,9","=302,677","=0","=-0,00366956","=-0,13758","=1,90866","=-0,36288",
"=0,95","=302,512","=0","=-0,00366809","=0,69591","=2,50026","=0,3186",
"=1","=302,275","=0","=-0,00366436","=1,72868","=2,84636","=1,27611",

"15"
"x","Temp","Pump Light","z-disp","Sxx","Syy","Szz",
"=-0,99995","=300,625","=0","=0,0000399186","=0,0837358","=1,79211","=1,4477",
"=-0,95","=300,752","=0","=0,0000399266","=0,13977","=1,9151","=1,409",
"=-0,9","=300,886","=0","=0,0000399514","=-0,22388","=1,5773","=1,1094",
"=-0,85","=301,028","=0","=0,000039975","=-0,41521","=1,2946","=0,87065",
"=-0,8","=301,179","=0","=0,0000400138","=-0,30817","=1,32628","=0,80753",
"=-0,75","=301,339","=0","=0,0000400493","=-0,61524","=1,13369","=0,5461",
"=-0,7","=301,51","=0","=0,0000400879","=-0,71898","=0,97904","=0,35217",
"=-0,65","=301,694","=0","=0,0000401283","=-0,75778","=0,87529","=0,18481",
"=-0,6","=301,893","=0,0000304091","=0,0000401719","=-0,95084","=0,68051","=-0,0701213",
"=-0,55","=302,109","=0,000207149","=0,0000402189","=-1,17162","=0,48707","=-0,34895",
"=-0,5","=302,346","=0,00105209","=0,000040275","=-1,21897","=0,35265","=-0,57213",
"=-0,45","=302,607","=0,00456973","=0,0000403374","=-1,35958","=0,16559","=-0,85478",
"=-0,4","=302,898","=0,0169812","=0,0000404033","=-1,50922","=-0,0371565","=-1,1655",
"=-0,35","=303,225","=0,0540071","=0,0000404733","=-1,59263","=-0,26218","=-1,48719",
